'29','14-12-2011 12:10:10','nl',,'14-12-2011 12:10:10','14-12-2011 11:55:27','81.206.80.177','-','9','45',,,'5.6',,,,,,,,,,'7.5','5.6',,,,,,,,'3.1','7.7','7.9',,,,,,,,,,,,,,,,,'6.1',,'5.6','7.8',,,,,,,,,,,,,,,,,,,,,,,,,,'7.3','3.4','8.5',,'2.2',,,,,,,,,'6.8','9',,,,,,,'7.8','6.2','6.8',,,,,,,,,,,,,,,,,,,'8.1',,,,,,,,,,,,,'8.4','3.3',,,,,,,,,,,,,'7.9','5.6','8.1',,,,'4',,
'30','15-12-2011 09:02:23','nl',,'15-12-2011 09:02:23','15-12-2011 08:43:49','137.224.252.10','-','10','46',,,,'6',,,,,,,,,,,'4.7','5.7',,,,,,,,,'5','5.5','7',,,,,,,,,,,,,,,'6',,,'5.4','5.2',,,,,,,,,'5','6','6.5',,,,,,,,,,,,,,,,,'5.5',,,,,,,,,'6','6.5',,,,,,,'6','6.6','6.5',,,,,,,,,,,,,,,,,,,'5.5',,,,,,,,,,,,,'5.4','5.7',,,,,,,,,,,,,'5.5','5.9','6.2',,,,'13',,
'31','15-12-2011 13:23:31','nl',,'15-12-2011 13:23:31','15-12-2011 13:10:18','193.172.33.194','-','11','51',,,,,'9',,,,,,,,,,,,'4','8',,,,,,,,,,'8','7','3',,,,,,,'5',,,,,,,,,,'3','6',,,,,,,,,,'4','6','7.5',,,,,,,,,,,,,,'3',,,,,,,,,'6.5','4.5',,,,,,,'8','5.5','7',,,,,,,,,,,,,,,,,,,'6.5',,,,,,,,,,,,,'7.5','4',,,,,,,,,,,,,'4.5','4.5','6.5',,,,'6',,
'32','15-12-2011 22:45:25','nl',,'15-12-2011 22:45:25','15-12-2011 22:28:29','80.127.101.66','-','12','34',,,,,,'4','6','5',,,,,,,,,,,,,,,,,,,,,,,'3.4','6.5','7.5',,,,,'4.4',,,,,,,,,,,'7','4.6',,,,,,,,,,,'5.1','5.5','6.5',,,,,,,,,,,'5.8',,,,,,,,,'5.4','5.8',,,,,,,'5.7','5.6','8.5',,,,,,,,,,,,,,,,,,,'4',,,,,,,,,,,,,'6.1','4',,,,,,,,,,,,,'5.1','4.9','7.2',,,,'12',,
'33','16-12-2011 10:45:51','nl',,'16-12-2011 10:45:51','16-12-2011 10:31:49','212.123.200.82','-','1','56','2.9',,,,,,,,'3','5.4',,,,,,,,,,,,,,,,,,,,,,,,'3.7','2.6','8.2',,,'3.3',,,,,,,,,,,,'3','6',,,,,,,,,,,,'7.9','7.1','2.7',,,,,,,'3.2',,,,,,,,'3.3','5.4',,,,,,,,,,,,,,,,,,,,,,,,'5.1','3','8.4',,,'2.1',,,,,,,,,,,,'2.6','2.7',,,,,,,,,,,,'4.2','8.5','5',,,,,,,'6',,
'34','18-12-2011 12:57:07','nl',,'18-12-2011 12:57:07','18-12-2011 12:45:44','77.168.57.220','-','2','64',,'5',,,,,,,,,'4','7.5',,,,,,,'4','7.5','7.5',,,,,,,,,,,,,,,,,,,'1.4',,,,,,,,,,,,,'2','8.5',,,,,,,,,,,,,'4','6.5','7.5',,,,'7.5',,,,,,,,'2','8',,,,,,,,,,,,,,,,,,,,,,,,'8','3','8',,,'2',,,,,,,,,,,,'4','7',,,,,,,,,,,,'5.5','9','4',,,,,,,'13',,
'35','18-12-2011 22:06:13','nl',,'18-12-2011 22:06:13','18-12-2011 14:34:00','87.212.141.118','-','3','65',,,'4',,,,,,,,,,'7','5',,,,,,,,'5.6','6.2','7',,,,,,,,,,,,,,,,,'7.8',,'6','6.6',,,,,,,,,,,,,,,,,,,,,,,,,,'6.5','5','7.5','6.3',,,,,,,,'6.6','8.1',,,,,,,,,,,,,,,,,,,,,,,,'6.6','5.6','7.3',,,'5.3',,,,,,,,,,,,'6.1','4.9',,,,,,,,,,,,'4.6','7.1','5.6',,,,,,,'5',,
'36','19-12-2011 10:15:15','nl',,'19-12-2011 10:15:15','19-12-2011 10:04:07','87.251.40.213','-','4','25',,,,'1',,,,,,,,,,,'2.3','7',,,,,,,,,'3.1','7.4','6.3',,,,,,,,,,,,,,,'2.7',,,'2.8','5.9',,,,,,,,,'2.6','6','7.5',,,,,,,,,,,,,,,,'6.7',,,,,,,,'5.1','6.6',,,,,,,,,,,,,,,,,,,,,,,,'6.2','2.5','7.6',,,'4.7',,,,,,,,,,,,'4.1','2.9',,,,,,,,,,,,'3.9','7.1','5.5',,,,,,,'13',,
'37','19-12-2011 14:25:56','nl',,'19-12-2011 14:25:56','19-12-2011 14:13:26','92.67.145.138','-','5','26',,,,,'8',,,,,,,,,,,,'4','8',,,,,,,,,,'7','7','4.5',,,,,,,'4.5',,,,,,,,,,'4','6',,,,,,,,,,'4','7','8',,,,,,,,,,,,,'5.5',,,,,,,,'5','6.5',,,,,,,,,,,,,,,,,,,,,,,,'5.5','4.5','8',,,'4.5',,,,,,,,,,,,'6','4.6',,,,,,,,,,,,'4.5','8','6',,,,,,,'3',,
'38','19-12-2011 15:12:46','nl',,'19-12-2011 15:12:46','19-12-2011 15:04:07','62.41.69.30','-','6','72',,,,,,'3.1','6.2','5.4',,,,,,,,,,,,,,,,,,,,,,,'5.3','3.5','5.1',,,,,'6.3',,,,,,,,,,,'5.6','4.4',,,,,,,,,,,'3.6','6.7','7.6',,,,,,,,,,'5.5',,,,,,,,'5.6','7.2',,,,,,,,,,,,,,,,,,,,,,,,'6','5.6','7.4',,,'4.7',,,,,,,,,,,,'5.9','5.6',,,,,,,,,,,,'6.3','7.1','5.1',,,,,,,'8',,
'39','20-12-2011 08:41:56','nl',,'20-12-2011 08:41:56','20-12-2011 08:25:43','212.104.214.35','-','7','73','5',,,,,,,,'7.7','7.2',,,,,,,,,,,,,,,,,,,,,,,,'6.2','4.1','8',,,'4',,,,,,,,,,,,'6.7','5.3',,,,,,,,,,,,'7.5','4','5.5',,,,,,,,'6',,,,,,,,,'5.5','5.5',,,,,,,'8','6','7.1',,,,,,,,,,,,,,,,,,,'3.3',,,,,,,,,,,,,'6.5','4',,,,,,,,,,,,,'6.3','5.6','8.5',,,,'6',,
'40','20-12-2011 11:45:02','nl',,'20-12-2011 11:45:02','20-12-2011 11:33:39','212.78.217.34','-','8','58',,'5',,,,,,,,,'6.1','7',,,,,,,'3.9','6','9',,,,,,,,,,,,,,,,,,,'5',,,,,,,,,,,,,'4.8','8',,,,,,,,,,,,,'3.1','5.8','8.9',,,,,'5.6',,,,,,,,,'3','6.5',,,,,,,'5.5','6.5','7.2',,,,,,,,,,,,,,,,,,,'6.7',,,,,,,,,,,,,'8.6','6.5',,,,,,,,,,,,,'5.1','4.4','7.7',,,,'-oth-','Dokters van de wereld',
'41','20-12-2011 15:43:52','nl',,'20-12-2011 15:43:52','20-12-2011 15:26:21','213.208.213.5','-','9','29',,,'5',,,,,,,,,,'5.5','4',,,,,,,,'4.4','6.5','7.4',,,,,,,,,,,,,,,,,'6.5',,'6','5.5',,,,,,,,,,,,,,,,,,,,,,,,,,'5.4','6.6','7.3',,'5.5',,,,,,,,,'4.7','5.5',,,,,,,'5.6','6.3','7.5',,,,,,,,,,,,,,,,,,,'5.4',,,,,,,,,,,,,'6','4.9',,,,,,,,,,,,,'4','4','7.5',,,,'8',,
'42','21-12-2011 09:08:18','nl',,'21-12-2011 09:08:18','21-12-2011 08:49:34','212.104.214.35','-','10','74',,,,'2',,,,,,,,,,,'2','8',,,,,,,,,'2.4','4','8.1',,,,,,,,,,,,,,,'6.6',,,'4.1','7.8',,,,,,,,,'6.1','3.7','8.6',,,,,,,,,,,,,,,,,'3',,,,,,,,,'2.8','3.3',,,,,,,'6.1','4.6','9.2',,,,,,,,,,,,,,,,,,,'4.7',,,,,,,,,,,,,'8.8','2.9',,,,,,,,,,,,,'3','3','8.4',,,,'8',,
'43','22-12-2011 08:37:22','nl',,'22-12-2011 08:37:22','22-12-2011 08:28:17','81.207.240.63','-','11','43',,,,,'7.2',,,,,,,,,,,,'7.4','4.3',,,,,,,,,,'7.1','5.9','3.8',,,,,,,'6.7',,,,,,,,,,'3','7.6',,,,,,,,,,'4.6','5.8','7.1',,,,,,,,,,,,,,'4.6',,,,,,,,,'6.7','6.2',,,,,,,'5.2','6','7.6',,,,,,,,,,,,,,,,,,,'7',,,,,,,,,,,,,'7','4.9',,,,,,,,,,,,,'6','5','7',,,,'13',,
'44','22-12-2011 21:14:34','nl',,'22-12-2011 21:14:34','22-12-2011 21:04:26','77.168.184.124','-','12','24',,,,,,'7.1','7.6','4.6',,,,,,,,,,,,,,,,,,,,,,,'4.3','6.6','8.6',,,,,'7.1',,,,,,,,,,,'8.2','6.5',,,,,,,,,,,'5.8','8.4','6.5',,,,,,,,,,,'4.3',,,,,,,,,'7.7','6.5',,,,,,,'7.8','6.5','8.2',,,,,,,,,,,,,,,,,,,'4',,,,,,,,,,,,,'7.9','6.4',,,,,,,,,,,,,'6.4','8.6','3.6',,,,'-oth-','stichting straatkinderen Burkina Faso',
'45','23-12-2011 15:56:03','nl',,'23-12-2011 15:56:03','23-12-2011 15:45:50','82.169.186.179','-','1','91','7',,,,,,,,'6','6',,,,,,,,,,,,,,,,,,,,,,,,'6.5','5','8',,,'4',,,,,,,,,,,,'6','7.5',,,,,,,,,,,,'7.5','8','4',,,,,,,'7',,,,,,,,'4.5','6',,,,,,,,,,,,,,,,,,,,,,,,'7','4','7.5',,,'4.5',,,,,,,,,,,,'4','5',,,,,,,,,,,,'6.5','7','7',,,,,,,'7',,
'46','25-12-2011 16:21:20','nl',,'25-12-2011 16:21:20','25-12-2011 16:08:32','82.72.30.221','-','2','88',,'6.6',,,,,,,,,'5.2','7.1',,,,,,,'5.2','6.6','8.4',,,,,,,,,,,,,,,,,,,'6',,,,,,,,,,,,,'7.3','8.8',,,,,,,,,,,,,'3.5','6.5','8.6',,,,'7',,,,,,,,'6.9','4.6',,,,,,,,,,,,,,,,,,,,,,,,'5','6.1','8.8',,,'4.1',,,,,,,,,,,,'4.8','4.8',,,,,,,,,,,,'6.7','8.6','4.4',,,,,,,'4',,
'47','30-12-2011 16:35:13','nl',,'30-12-2011 16:35:13','30-12-2011 15:58:06','200.26.199.200','-','3','107',,,'3.7',,,,,,,,,,'7.6','4.9',,,,,,,,'3.4','7.8','5.8',,,,,,,,,,,,,,,,,'6.8',,'7.1','5',,,,,,,,,,,,,,,,,,,,,,,,,,'5','4.7','6.3','7',,,,,,,,'4.2','7.2',,,,,,,,,,,,,,,,,,,,,,,,'7.2','4','7.9',,,'6.1',,,,,,,,,,,,'4.6','4.4',,,,,,,,,,,,'6.5','7.1','4.5',,,,,,,'6',,
'48','02-01-2012 10:19:37','nl',,'02-01-2012 10:19:37','02-01-2012 10:11:56','212.123.218.194','-','4','105',,,,'6.5',,,,,,,,,,,'7.1','5.7',,,,,,,,,'4.3','7.5','6.9',,,,,,,,,,,,,,,'6.1',,,'4.8','7.3',,,,,,,,,'7.3','6.1','7',,,,,,,,,,,,,,,,'7',,,,,,,,'4.6','7.3',,,,,,,,,,,,,,,,,,,,,,,,'6.8','6.2','7.5',,,'6.2',,,,,,,,,,,,'5.1','5.2',,,,,,,,,,,,'7','6.6','8',,,,,,,'12',,
'49','02-01-2012 12:30:28','nl',,'02-01-2012 12:30:28','02-01-2012 12:15:32','87.213.32.218','-','5','75',,,,,'7',,,,,,,,,,,,'4.7','9',,,,,,,,,,'7.5','8.4','5.6',,,,,,,'6.3',,,,,,,,,,'6.1','6.1',,,,,,,,,,'5.6','7.1','9',,,,,,,,,,,,,'7.7',,,,,,,,'3.8','8.7',,,,,,,,,,,,,,,,,,,,,,,,'8.7','4.4','9.2',,,'5',,,,,,,,,,,,'7.7','5.1',,,,,,,,,,,,'3.8','7.9','8.2',,,,,,,'-oth-','Nierstichting',
'50','02-01-2012 13:34:28','nl',,'02-01-2012 13:34:28','02-01-2012 13:26:06','212.123.218.194','-','6','102',,,,,,'5.6','7.5','5.6',,,,,,,,,,,,,,,,,,,,,,,'6.5','5.5','7.5',,,,,'6.3',,,,,,,,,,,'7.5','4.8',,,,,,,,,,,'4.5','6','7',,,,,,,,,,'7',,,,,,,,'5','7.2',,,,,,,,,,,,,,,,,,,,,,,,'6.1','4.6','7.6',,,'5',,,,,,,,,,,,'5.6','5.6',,,,,,,,,,,,'5.1','7.1','6.1',,,,,,,'3',,
'51','02-01-2012 17:25:30','nl',,'02-01-2012 17:25:30','02-01-2012 17:11:36','90.145.96.146','-','7','103','3',,,,,,,,'3','6',,,,,,,,,,,,,,,,,,,,,,,,'5','3','8',,,'3',,,,,,,,,,,,'3','5',,,,,,,,,,,,'7.5','7.5','5',,,,,,,,'3',,,,,,,,,'5','3',,,,,,,'6.5','4','7.5',,,,,,,,,,,,,,,,,,,'4',,,,,,,,,,,,,'6.2','3',,,,,,,,,,,,,'3','3','8',,,,'1',,
'52','03-01-2012 09:26:49','nl',,'03-01-2012 09:26:49','03-01-2012 09:14:31','131.224.251.104','-','8','68',,'5',,,,,,,,,'4','8',,,,,,,'4','6','8',,,,,,,,,,,,,,,,,,,'4',,,,,,,,,,,,,'4','8',,,,,,,,,,,,,'4','7','8',,,,,'4',,,,,,,,,'5','4',,,,,,,'4','6','8',,,,,,,,,,,,,,,,,,,'6',,,,,,,,,,,,,'6','5',,,,,,,,,,,,,'4','5','8',,,,'13',,
'53',,'nl',,'03-01-2012 10:00:26','03-01-2012 10:00:26','77.167.154.173','-','9','82',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'54','03-01-2012 10:38:06','nl',,'03-01-2012 10:38:06','03-01-2012 10:19:27','194.171.88.1','-','10','86',,,,'3.2',,,,,,,,,,,'3.6','8',,,,,,,,,'3','3.2','8.1',,,,,,,,,,,,,,,'2',,,'2.4','5.1',,,,,,,,,'5.9','5.4','7.6',,,,,,,,,,,,,,,,,'1',,,,,,,,,'2.6','2.6',,,,,,,'8','4.7','6.7',,,,,,,,,,,,,,,,,,,'4.2',,,,,,,,,,,,,'7','4.2',,,,,,,,,,,,,'2.2','5.9','7.8',,,,'-oth-','http://www.wakeupdaycarenamibia.com/ne/buildingfund.htm',
'55','03-01-2012 10:44:32','nl',,'03-01-2012 10:44:32','03-01-2012 10:40:57','62.41.69.30','-','11','67',,,,,'3',,,,,,,,,,,,'8','6',,,,,,,,,,'4','7','7',,,,,,,'7',,,,,,,,,,'4','4',,,,,,,,,,'4.3','6.3','7.5',,,,,,,,,,,,,,'4.5',,,,,,,,,'3.9','4.1',,,,,,,'7.1','7.1','3.9',,,,,,,,,,,,,,,,,,,'7.5',,,,,,,,,,,,,'7.3','4.2',,,,,,,,,,,,,'6.2','7.4','5',,,,'11',,
'56','03-01-2012 14:18:32','nl',,'03-01-2012 14:18:32','03-01-2012 14:07:58','212.104.214.35','-','12','84',,,,,,'3.1','7','7.3',,,,,,,,,,,,,,,,,,,,,,,'6.5','8.4','9.1',,,,,'2.1',,,,,,,,,,,'8.2','2.5',,,,,,,,,,,'7.9','2.8','6.4',,,,,,,,,,,'3.3',,,,,,,,,'7.5','3.5',,,,,,,'8.1','4.9','7',,,,,,,,,,,,,,,,,,,'3.7',,,,,,,,,,,,,'7.6','3.1',,,,,,,,,,,,,'7.1','3.1','8',,,,'6',,
'57','03-01-2012 17:10:58','nl',,'03-01-2012 17:10:58','03-01-2012 16:54:18','62.21.138.106','-','1','89','1',,,,,,,,'1.5','3',,,,,,,,,,,,,,,,,,,,,,,,'3.5','1.5','7',,,'1.5',,,,,,,,,,,,'1','5.5',,,,,,,,,,,,'3.5','6.5','1',,,,,,,'4.8',,,,,,,,'1.5','5.5',,,,,,,,,,,,,,,,,,,,,,,,'5','1.5','8',,,'2',,,,,,,,,,,,'5','2',,,,,,,,,,,,'2.5','5.5','5',,,,,,,'-oth-','Dierenbescherming',
'58','05-01-2012 10:27:36','nl',,'05-01-2012 10:27:36','05-01-2012 09:53:04','129.125.171.49','-','2','116',,'7.5',,,,,,,,,'5','2',,,,,,,'6','6','6',,,,,,,,,,,,,,,,,,,'5',,,,,,,,,,,,,'4.5','6.5',,,,,,,,,,,,,'4.5','4','5.7',,,,'5.5',,,,,,,,'6','6',,,,,,,,,,,,,,,,,,,,,,,,'3.9','5.8','7',,,'3',,,,,,,,,,,,'3.5','3.5',,,,,,,,,,,,'5.7','5.8','5',,,,,,,'13',,
